# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
695at4891	Complete	h2tg000022l_path	31598	28248	-	1655.7	889	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	h2tg000007l_path	15577	10700	-	267.7	258	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	h2tg000002l_path	25746	29798	+	1180.4	804	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	h2tg000055l_path	244073	239134	-	936.4	948	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	h2tg000097l_path	14520	17810	+	1461.9	845	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Fragmented	h2tg000039l_path	153666	155534	+	725.4	396	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	h2tg000110l_path	84252	81035	-	1643.6	923	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	h2tg000078l_path	7632	4384	-	1200.7	753	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	h2tg000039l_path	108915	104920	-	1330.7	996	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	h2tg000014l_path	122684	125722	+	1619.0	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Fragmented	h2tg000081l_path	23429	25858	+	1358.1	678	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Complete	h2tg000072l_path	4285	7416	+	1723.0	888	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	h2tg000078l_path	13441	10568	-	1421.0	803	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Fragmented	h2tg000044l_path	1	1834	+	780.1	467	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	h2tg000085l_path	12328	6732	-	1754.9	1234	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	h2tg000087l_path	18527	22023	+	1271.8	886	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	h2tg000070l_path	32311	36552	+	1611.3	951	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	h2tg000070l_path	5324	9091	+	1309.1	891	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	h2tg000055l_path	300087	296536	-	612.3	621	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	h2tg000128l_path	19367	22378	+	1165.4	774	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
1099at4891	Complete	h2tg000005l_path	17429	20676	+	1056.3	726	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Complete	h2tg000062l_path	11110	7565	-	1191.7	714	https://www.orthodb.org/v10?query=1120at4891	Ribosome biogenesis protein BMS1
1180at4891	Complete	h2tg000087l_path	3596	7280	+	1239.1	952	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	h2tg000049l_path	899	4057	+	1634.6	863	https://www.orthodb.org/v10?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	h2tg000128l_path	9500	4550	-	1367.8	1052	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	h2tg000004l_path	49756	52131	+	976.2	607	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	h2tg000140l_path	13842	10514	-	1256.0	938	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Fragmented	h2tg000125l_path	3550	5298	+	660.9	400	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	h2tg000105l_path	11825	7625	-	416.4	596	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	h2tg000038l_path	44685	41799	-	948.9	672	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	h2tg000096l_path	73828	70616	-	1113.3	793	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Fragmented	h2tg000100l_path	98937	96010	-	576.2	558	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
1299at4891	Fragmented	h2tg000009l_path	15759	18311	+	1151.8	711	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	h2tg000020l_path	131549	127860	-	1065.0	869	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	h2tg000144l_path	14221	11189	-	750.1	607	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	h2tg000005l_path	141449	138120	-	471.0	477	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	h2tg000006l_path	298131	301577	+	1100.8	812	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	h2tg000055l_path	58686	62928	+	1323.6	812	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	h2tg000090l_path	69214	73812	+	1815.1	1138	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	h2tg000045l_path	88170	91832	+	810.1	609	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	h2tg000039l_path	78800	82828	+	835.9	646	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	h2tg000002l_path	180328	183414	+	922.5	640	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Missing
1483at4891	Complete	h2tg000028l_path	52689	49816	-	523.9	537	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	h2tg000007l_path	528	3628	+	1656.0	864	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	h2tg000126l_path	19051	22861	+	690.0	607	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	h2tg000021l_path	36993	31945	-	918.7	1074	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	h2tg000075l_path	136179	133072	-	920.0	764	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	h2tg000006l_path	121738	125164	+	1156.0	743	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Fragmented	h2tg000014l_path	261519	263867	+	857.2	504	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Complete	h2tg000119l_path	63735	67089	+	1105.7	732	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	h2tg000123l_path	54853	51743	-	1134.9	710	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	h2tg000068l_path	76574	71670	-	789.0	966	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	h2tg000103l_path	3424	7958	+	1221.7	717	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	h2tg000082l_path	102198	105464	+	1380.6	823	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	h2tg000099l_path	170030	172534	+	838.6	562	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	h2tg000029l_path	276277	279723	+	268.6	550	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Complete	h2tg000005l_path	57087	59484	+	979.9	627	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	h2tg000039l_path	42471	39883	-	989.2	716	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Fragmented	h2tg000104l_path	62345	60067	-	560.0	528	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	h2tg000039l_path	135085	131224	-	1238.6	718	https://www.orthodb.org/v10?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	h2tg000141l_path	23941	21092	-	1190.0	678	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Complete	h2tg000030l_path	80208	77158	-	885.1	694	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	h2tg000038l_path	49692	52016	+	1008.9	592	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
1774at4891	Complete	h2tg000004l_path	70974	67927	-	1198.2	666	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	h2tg000004l_path	0	2496	+	887.6	637	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	h2tg000002l_path	117057	119534	+	609.3	583	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	h2tg000032l_path	38709	35710	-	335.0	525	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Complete	h2tg000014l_path	83041	80513	-	1286.7	594	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	h2tg000022l_path	81933	77618	-	1559.3	917	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	h2tg000065l_path	260396	257215	-	582.7	705	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	h2tg000143l_path	47254	44361	-	681.4	564	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	h2tg000140l_path	158426	160674	+	1244.5	646	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	h2tg000069l_path	457	2685	+	606.4	562	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Fragmented	h2tg000024l_path	40556	42259	+	921.3	502	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	h2tg000066l_path	11186	13732	+	435.6	408	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	h2tg000020l_path	75952	80379	+	602.3	410	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	h2tg000109l_path	44412	41019	-	430.4	576	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	h2tg000113l_path	4898	2298	-	1222.4	638	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	h2tg000021l_path	6451	8931	+	1236.6	694	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	h2tg000104l_path	22511	18645	-	521.9	679	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	h2tg000045l_path	105379	102113	-	1138.9	880	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Complete	h2tg000021l_path	159618	156490	-	932.8	779	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	h2tg000019l_path	58793	56427	-	1178.3	634	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
2138at4891	Complete	h2tg000114l_path	17077	14507	-	564.5	430	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	h2tg000045l_path	58782	61649	+	1038.5	695	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	h2tg000139l_path	17392	15103	-	1286.8	679	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Missing
2171at4891	Complete	h2tg000096l_path	22879	25857	+	711.9	592	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	h2tg000127l_path	39972	37072	-	1178.7	771	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	h2tg000148l_path	2850	5561	+	1323.3	761	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	h2tg000076l_path	76517	78931	+	1067.5	619	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Complete	h2tg000117l_path	58207	55937	-	922.7	567	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	h2tg000063l_path	8020	5824	-	1340.1	660	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	h2tg000039l_path	153286	150484	-	1000.8	707	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	h2tg000065l_path	111761	109650	-	668.6	417	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	h2tg000113l_path	8232	5249	-	1038.0	688	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	h2tg000117l_path	40523	43282	+	519.4	402	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	h2tg000019l_path	64073	67322	+	812.8	610	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	h2tg000088l_path	1264	3498	+	1142.6	621	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	h2tg000048l_path	84671	79910	-	644.2	703	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	h2tg000109l_path	8371	11703	+	817.4	520	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	h2tg000109l_path	37306	40911	+	575.3	839	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	h2tg000049l_path	20347	23232	+	1226.3	780	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	h2tg000122l_path	45344	43001	-	996.7	579	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	h2tg000005l_path	3419	726	-	1047.1	583	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	h2tg000068l_path	48012	45454	-	932.9	651	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	h2tg000114l_path	74397	71644	-	705.0	632	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	h2tg000065l_path	210828	208627	-	920.0	500	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	h2tg000143l_path	31563	35693	+	944.7	604	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	h2tg000045l_path	108583	106148	-	565.9	518	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	h2tg000048l_path	69061	66146	-	376.1	518	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	h2tg000125l_path	24504	20758	-	795.6	699	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	h2tg000147l_path	8417	4320	-	1332.8	846	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	h2tg000086l_path	83725	87072	+	792.6	665	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	h2tg000117l_path	62559	58588	-	740.8	592	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	h2tg000100l_path	68482	71603	+	824.0	621	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	h2tg000010l_path	8640	5698	-	1328.0	728	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	h2tg000065l_path	327099	330755	+	1530.8	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	h2tg000027l_path	26339	22524	-	1507.9	852	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Fragmented	h2tg000117l_path	94973	98614	+	512.1	630	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	h2tg000117l_path	125030	126934	+	1007.6	536	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	h2tg000039l_path	109700	112087	+	649.9	501	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	h2tg000038l_path	57627	55291	-	879.8	523	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	h2tg000014l_path	212544	214727	+	1160.3	590	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
2754at4891	Complete	h2tg000078l_path	81846	79705	-	653.6	541	https://www.orthodb.org/v10?query=2754at4891	Eukaryotic translation initiation factor 3 subunit B
2784at4891	Complete	h2tg000006l_path	84266	82149	-	1131.0	586	https://www.orthodb.org/v10?query=2784at4891	Tryptophan synthase
2793at4891	Complete	h2tg000006l_path	81772	79379	-	746.8	558	https://www.orthodb.org/v10?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	h2tg000032l_path	34181	31950	-	1127.4	600	https://www.orthodb.org/v10?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	h2tg000037l_path	27474	25027	-	820.6	602	https://www.orthodb.org/v10?query=2851at4891	WD40-repeat-containing domain
2862at4891	Missing
2893at4891	Complete	h2tg000059l_path	17999	22294	+	1213.3	827	https://www.orthodb.org/v10?query=2893at4891	Cation-transporting ATPase
2898at4891	Fragmented	h2tg000138l_path	4852	6780	+	759.5	490	https://www.orthodb.org/v10?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	h2tg000047l_path	6651	10064	+	390.0	439	https://www.orthodb.org/v10?query=2905at4891	Topoisomerase 1-associated factor 1
2915at4891	Complete	h2tg000078l_path	14311	18086	+	616.6	873	https://www.orthodb.org/v10?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	h2tg000020l_path	60097	62445	+	765.8	596	https://www.orthodb.org/v10?query=2926at4891	Ribosome-releasing factor 2, mitochondrial
2971at4891	Complete	h2tg000102l_path	25853	23421	-	1096.3	621	https://www.orthodb.org/v10?query=2971at4891	ClpA/B, conserved site 1
2976at4891	Complete	h2tg000006l_path	88170	89855	+	939.3	500	https://www.orthodb.org/v10?query=2976at4891	Glycosyltransferase family 66 protein
2990at4891	Complete	h2tg000005l_path	72836	68721	-	427.1	564	https://www.orthodb.org/v10?query=2990at4891	Zinc finger, PHD-type
2994at4891	Complete	h2tg000128l_path	96606	99390	+	754.3	637	https://www.orthodb.org/v10?query=2994at4891	Condensin complex subunit 3
3032at4891	Complete	h2tg000013l_path	225829	228009	+	970.5	586	https://www.orthodb.org/v10?query=3032at4891	Terpene cyclase/mutase family member
3044at4891	Complete	h2tg000008l_path	24352	21345	-	366.8	386	https://www.orthodb.org/v10?query=3044at4891	Mad3/Bub1 homology region 1
